BXD1	9.944
BXD2	9.814
BXD5	9.210
BXD6	8.572
BXD8	8.587
BXD9	10.559
BXD11	9.739
BXD12	9.380
BXD13	8.998
BXD14	x
BXD15	9.300
BXD16	8.779
BXD18	x
BXD19	8.984
BXD20	9.958
BXD21	8.956
BXD22	9.618
BXD23	9.485
BXD24a	x
BXD24	9.460
BXD25	x
BXD27	8.906
BXD28	9.503
BXD29	9.220
BXD30	x
BXD31	9.288
BXD32	9.313
BXD33	8.988
BXD34	9.660
BXD35	x
BXD36	x
BXD37	x
BXD38	8.762
BXD39	8.541
BXD40	9.952
BXD41	x
BXD42	9.127
BXD43	9.651
BXD44	9.335
BXD45	8.380
BXD48	9.166
BXD49	x
BXD50	9.806
BXD51	9.502
BXD52	x
BXD53	x
BXD54	x
BXD55	9.985
BXD56	x
BXD59	x
BXD60	10.032
BXD61	8.374
BXD62	9.080
BXD63	8.930
BXD64	10.018
BXD65	8.994
BXD66	9.586
BXD67	8.498
BXD68	9.362
BXD69	8.824
BXD70	8.786
BXD71	x
BXD72	x
BXD73	9.533
BXD74	10.091
BXD75	10.072
BXD76	8.776
BXD77	9.306
BXD78	x
BXD79	8.695
BXD80	9.106
BXD81	x
BXD83	9.893
BXD84	9.195
BXD85	9.818
BXD86	8.339
BXD87	9.022
BXD88	x
BXD89	9.539
BXD90	8.372
BXD91	x
BXD92	9.050
BXD93	8.663
BXD94	9.024
BXD95	x
BXD96	8.712
BXD97	9.904
BXD98	9.224
BXD99	9.598
BXD100	x
BXD101	x
BXD102	x
BXD103	x
