@format=column	Phenotype Id 1	SE	n	Phenotype Id 2	SE	n	Phenotype Id 3	SE	n	Phenotype Id 4	SE	n	Phenotype Id 5	SE	n
BXD1	672.5	21.722	4	28.95	3.425	4	25	0.599	3	152	14.68	4	92	15.05	4
BXD100	X	X	0	81	8	2	X	X	0	120	3	2	105	10	2
BXD101	501.5	28.5	2	24	2	2	26.5	0.5	2	130	6	2	41.5	1.5	2
BXD103	635.5	74.5	2	33.5	8.5	2	25.5	0.5	2	116	15	2	90	8	2
BXD11	666.333	27.907	3	56.669	15.301	3	25	0	3	98	13.454	3	64.333	8.95	3
BXD16	554.75	120.742	4	51	6.945	4	24.25	0.25	4	225.5	6.538	4	95.95	6.613	4
BXD18	735.25	25.924	4	33.95	8.929	4	24.95	0.25	4	180.95	8.931	4	92.25	25.349	4
BXD20	877	42.755	4	90	19.34	4	24.25	0.499	4	95.25	4.09	4	146	30.019	4
BXD28	476.333	48.502	3	99.333	9.535	3	24.669	1.669	3	169.333	11.141	3	134.669	6.119	3
BXD31	510	40.806	4	29.25	2.81	4	22.95	0.95	4	44	10.916	4	61.5	9.191	4
BXD34	672	14.916	4	115.5	28.168	4	29.95	0.499	4	98.5	2.466	4	192.25	29.809	4
BXD42	845.75	26.192	4	51.5	11.929	4	28.25	0.95	4	104	4.546	4	104.5	22.205	4
BXD43	615	X	1	21	X	1	25	X	1	105	X	1	40	X	1
BXD44	643	10.786	3	39.333	2.928	3	29.669	0.669	3	124.333	5.983	3	68	20.008	3
BXD45	487.5	22.5	2	36.5	8.5	2	29	1	2	182	8	2	49.5	11.5	2
BXD48	578	17.607	4	43.25	6.395	4	25.95	0.25	4	149.5	6.185	4	69.95	5.282	4
BXD55	673	22	2	24.5	3.5	2	29	0	2	130.5	1.5	2	49.5	3.5	2
BXD56	504	29.49	4	39	9.229	4	26.25	0.25	4	133.95	12.452	4	64.5	6.538	4
BXD6	477.25	9.275	4	51	19.142	4	24.5	0.289	4	91.95	2.529	4	99.5	39.342	4
BXD61	X	X	0	49	10	2	X	X	0	160.5	1.5	2	141	25	2
BXD62	575.25	7.004	4	32	1.354	4	25.5	0.645	4	95.25	2.955	4	62.95	9.293	4
BXD65	524.5	0.5	2	32	6	2	29.5	0.5	2	100	9	2	69.5	9.5	2
BXD66	X	X	0	95	42	2	X	X	0	168.5	21.5	2	94	11	2
BXD68	X	X	0	45.95	4.661	4	X	X	0	118.95	9.931	4	146.25	42.682	4
BXD69	X	X	0	39	0	2	X	X	0	192	16	2	121.5	58.5	2
BXD71	672.5	47.5	2	24	0	2	26.5	0.5	2	195.5	5.5	2	42.5	9.5	2
BXD73	X	X	0	99.5	9.5	2	X	X	0	130	6	2	125	22	2
BXD75	457.5	59.5	2	29.5	1.5	2	24.5	0.5	2	136	15	2	96.5	31.5	2
BXD8	475.25	16.24	4	24.25	2.136	4	22.95	0.25	4	232	14.694	4	65.5	9.984	4
BXD80	756.25	11.707	4	32.95	5.092	4	29.25	0.499	4	118	4.435	4	96.5	16.894	4
BXD81	617	4	2	25.5	0.5	2	29	0	2	195	6	2	46	0	2
BXD83	645	52	2	44.5	5.5	2	26.5	0.5	2	140	1	2	81	4	2
BXD84	504.5	57.5	2	23.5	0.5	2	26.5	0.5	2	191	9	2	58	5	2
BXD86	X	X	0	59.5	5.5	2	X	X	0	136.5	6.5	2	61	4	2
BXD87	713.75	6.005	4	69.5	26.39	4	26.669	0.333	3	152.95	5.056	4	95.25	19.168	4
BXD89	1688.25	1022.945	4	30.5	4.33	4	29	0.408	4	189.5	9.438	4	103.95	23.613	4
BXD90	527	X	1	26	X	1	28	X	1	245	X	1	50	X	1
BXD92	620.5	25.5	2	36	1	2	25	1	2	120	14	2	54	8	2
BXD95	575	10.84	4	40.25	6.588	4	29.25	0.499	4	156	4.082	4	55.95	4.968	4
BXD96	625.5	4.5	2	34	9	2	26	0	2	109	5	2	92.5	30.5	2
BXD97	470.25	14.272	4	25	0.408	4	29.5	0.5	4	116.5	2.466	4	39.5	1.555	4
BXD98	435	22.604	3	94.333	30.068	3	29.669	0.882	3	83	13.948	3	99.669	25.693	3
C57BL/6J	575.56	21.067	25	35.84	5.515	25	26.56	0.404	25	100.32	5.19	25	64.92	4.954	25
