#Add comments by starting lines with #
#Trait names usually start with major categories (e.g., Central nervous system, development) followed by a colon and then the specfic trait (e.g., Brain weight at embryonic day 16), followed by the units in square brackets (e.g., [mg]).
#Follow trait name conventions (see http://www.genenetwork.org/faq.html#Q-22) if possible for data intended for permanent use in GeneNetwork (see examples below)
#If you export this file from Excel use Tab-Delimited Text output and make sure that the text file does not have unintended hyphens
#Last edit of this example file by Rob Williams (rwilliams@uthsc.edu), November 2010
#This sample can be used as is for mouse BXD cases. It is in a column format (each trait in a column). You can add up to about 100 traits in this format
#Row should be tab-delimited
#Missing values MUST be represented with a non-numeric character such as an x
#Trait Name / Case Identifier should always be in the 1st row or column
#Trait name can contain white space but no tabs
#Each row or column must have the same number of items
#Case identifiers must match existing cases already in the GeneNetwork database exactly.
#If the case identifier field contains unknown cases or strains (for example BXD999)
#then the file will be rejected by GeneNetwork.
#The cell below that starts with the @ symbol defines the format of the text file (row or column format)
#The @ symbol must be followed by format=column or format=row
#@format=column, each column is a trait							
#@format=row, each row is a trait									
#The OPTIONAL SE/N columns or rows should immediately follow								
#the corresponding Trait value columns or rows							
#You do NOT need to enter names of missing cases or strains. In this example we list all BXD strains as of Nov 2010 for completeness only.								
#Data and columns start on the next line						
@format=column	Central nervous system, morphology: Brain weight in 2-month-old adult males and females (balanced sample) on a standard diet (Teklad 7001 4% fat) [mg]	SE	N	Central nervous system, behavior, learning and memory: Learning speed, initial acquisition of task, trials to criterion in naive 4-month adult males (Med Associaes nose poke system chamber, low values = faster learning) [n]	SE	N	Infectious disease, immune function: Cowpox virus maximum body temperature over two weeks after 10^6 pfu intranasal inoculation, males and females between 40 and 152 days of age, residuals corrected for sex, age and body weight [scaled deg C where -0.5 is >34.5 and 0.5 is <38]	SE	N	Musculoskeletal system: Bone mineral density (WC-BMD) in females corrected for whole body weight [mg/cm2]	SE	N
B6D2F1	460.121	2.60665	87	469.31	2.88193	87	457.375	3.0838	87	465.968	3.47246	87
D2B6F1	X	X	X	X	X	X	X	X	X	X	X	X
C57BL/6J	470.253	1.65473	254	485.055	1.72232	254	474.438	1.66519	254	488.776	1.70491	254
DBA/2J	400.692	2.59554	146	410.091	2.5812	146	404.971	2.47942	146	414.383	2.49363	146
BXD1	470.588	3.80836	68	483.953	4.2272	68	478.054	3.3748	68	492.576	3.68357	68
BXD2	432.944	3.3022	62	444.595	3.69905	62	427.536	3.15486	62	438.697	3.59831	62
BXD5	514.051	5.13482	75	525.3	5.18907	75	519.353	4.72786	75	530.186	4.90383	75
BXD6	389.764	3.37264	69	399.5	3.5015	69	390.511	3.61206	69	400.747	3.80201	69
BXD8	436.857	4.96952	54	445.898	5.20314	54	437.676	5.14337	54	445.859	5.42383	54
BXD9	435.807	2.42042	99	443.584	2.75916	99	429.642	2.74812	99	437.196	3.12191	99
BXD11	444.262	3.76132	68	453.038	3.8222	68	443.651	3.17695	68	452.583	3.39209	68
BXD12	444.003	2.22527	114	456.622	2.32208	114	448.963	2.1487	114	461.049	2.27128	114
BXD13	398.062	4.11123	61	406.734	4.34944	61	403.899	4.1683	61	411.334	4.50678	61
BXD14	421.972	3.03449	97	433.693	3.2102	97	426.136	2.87368	97	438.413	3.13297	97
BXD15	455.929	4.26894	31	466.823	4.49865	31	452.669	3.61616	31	462.643	4.08597	31
BXD16	448.976	4.52902	49	461.849	4.95118	49	454.554	3.61401	49	466.364	4.14038	49
BXD18	428.546	2.92179	46	440.3	3.11655	46	431.124	2.7744	46	442.305	3.05868	46
BXD19	425.081	4.83339	43	436.898	5.11931	43	430.41	4.44471	43	442.403	4.82384	43
BXD20	391.707	3.79352	29	404.593	4.28753	29	402.79	3.69568	29	415.123	4.07703	29
